Business Name,SIC2 Category,SIC4 Category,SIC8 Category,Contact Name,State Code,City,ZIP Code,Address,Phone,Web,Coordinates,Location Type,Market Variable,Annual Revenue,SIC,NAICS,Industry
Laser Printer Service,Computer Hardware,Computer Maintenance and Repair,Computer Repair Services,,CA,Beverly Hills,90210,,Not in Sample,laserprinterservices.com,,Single Location,BOTH,$100.000 to $499.999,7378,8112120,Other Services (except Public Administration)
Eat N High,Restaurants & Bars,Restaurants,Thai Restaurants,Narwarat Chuenpratum,CA,Los Angeles,90029,4501 Fountain Avenue,Not in Sample,eatnhighthai.dinehere.us,,Single Location,B2C,$100.000 to $499.999,5812,722511,Accommodation and Food Services
Id Modeling Inc,Computer Software,Prepackaged Software,Prepackaged Software,Paul Haussen,CA,Arcadia,91006,55 East Huntington Drive # 130,Not in Sample,idmodeling.com,"34.140212,-118.028712",Single Location,BOTH,$500.000 to $999.999,7372,511210,Information
Heart Of The Phoenix,Professional Services,Management Consulting Services,Business Management Consultants,Jennifer Donhauser,CA,Long Beach,90805,5501 Lewis Avenue,Not in Sample,,"33.856384,-118.180227",Single Location,B2B,$100.000 to $499.999,8742,541611,"Professional, Scientific, and Technical Services"
Nathaniel Thomas Clinical,Healthcare,"Specialty Outpatient Facilities, NEC",Outpatient Services,Nathaniel Thomas,CA,Inglewood,90305,3015 West 90th St,Not in Sample,nathanielthomasphd.com,"33.95621,-118.32575",Single Location,B2C,$500.000 to $999.999,8093,6222100,Health Care and Social Assistance
Turnino Point Family Services,Associations/Non-Profits,Individual and Family Social Services,Marriage and Family Counselors,Noemi Urgiles,CA,Carson,90746,320 East 189th St,Not in Sample,,"33.858905,-118.270577",Single Location,B2C,$100.000 to $499.999,8322,624190,Health Care and Social Assistance
Ahf Pharmacy,Shopping & Stores,Used Merchandise Stores,Thrift Shops,Michael Weinstein,CA,Los Angeles,90028,6210 West Sunset Boulevard,Not in Sample,ahfpharmacy.org,"34.09796,-118.32416",Single Location,B2C,Unknown,5932,4461100,Retail Trade
Enterprise Rent-A-Car,Passenger Car Leasing,Passenger Car Rental,Automobile Renting and Leasing,"Benjamin Milgram, Site Manager",CA,Long Beach,90804,4511 East Pacific Coast Highway,Not in Sample,enterprise.com,"33.78852,-118.14034",Branch,BOTH,$1.000.000 to $2.499.999,7514,5321110,Real Estate and Rental and Leasing
Realtor One/Mortgage America,Real Estate,Real Estate Agents and Managers,Real Estate,haim younessian,CA,Los Angeles,90035,,Not in Sample,,,Single Location,BOTH,Unknown,,,
Olivia's Nutritional Center,Shopping & Stores,Miscellaneous Food Stores,Health Food Stores,,CA,Hawthorne,90250,12804 Inglewood Avenue,Not in Sample,,,Single Location,B2C,$100.000 to $499.999,5499,446191,Retail Trade
